n,teffect_wage,teffect_effort,teffect_wage_grate,teffect_effort_grate,teffect_effort_wage,wage_teffect_lb,wage_teffect_ub,wage_round_teffect_lb,wage_round_teffect_ub,effort_teffect_lb,effort_teffect_ub,effort_round_teffect_lb,effort_round_teffect_ub,effort_wage_teffect_lb,effort_wage_teffect_ub
1,1,0.02,0,0,0,-0.08845471651940118,2.6884547165193933,0.10143449793844062,0.7562624717585201,0.017292595615923143,0.030307404384076645,-0.0012461198665368043,0.001221877442309642,NA,NA
1,2,0.04,0,0,0,0.8443756445980668,4.347624355401967,-0.5330081605557688,0.7579778575254519,0.034651896310770744,0.04614810368922924,-9.012766183326441e-4,0.002161882678956958,NA,NA
1,3,0.06,0,0,0,0.8414306009091548,5.8025693990908405,-0.5651367115594766,0.8010154994382265,0.056555935208352975,0.0678440647916471,-0.0016873437913404322,0.003311586215604346,NA,NA
1,4,0.08,0,0,0,0.3198313130584327,6.220168686941607,-0.1412508968429228,0.8799175635095674,0.06970168143561306,0.09109831856438685,-0.005115096704312904,0.002739339128577054,NA,NA
1,5,0.1,0,0,0,1.0847028298068802,8.215297170193125,-0.9896902739451507,-0.2881279078730292,0.08769325568280176,0.10630674431719847,-0.001587092043846217,0.002823455680231473,NA,NA
2,1,0.02,0,0,0,-1.841197243917979,3.4851972439179737,-0.7011907299517444,0.5453119420729444,0.01221525854883079,0.026584741451169357,-0.0032818372883430097,0.001221231227751337,NA,NA
2,2,0.04,0,0,0,-2.2066445353367854,3.9146445353367847,-0.320840588202984,1.0473860427484114,0.03463276924734189,0.04976723075265832,-0.0021852038357278118,0.003033688684230865,NA,NA
2,3,0.06,0,0,0,2.2418874842342467,7.198112515765746,-0.3400634838326382,0.8510937868629191,0.061481452528877684,0.07531854747112213,-0.002047105114330997,0.002725892993137063,NA,NA
2,4,0.08,0,0,0,2.035007065233873,6.760992934766183,-1.541440165984291,0.05125834780242944,0.07675169634450332,0.08644830365549686,-0.00213083725635658,4.5988771531850405e-5,NA,NA
2,5,0.1,0,0,0,2.2145022597979196,9.569497740202115,0.4392967791988316,1.2140365541344993,0.09847882383184696,0.11072117616815312,3.997459733800252e-4,0.0026790419054300843,NA,NA
3,1,0.02,0,0,0,0.8377414877701002,4.954258512229914,-0.6520667729833941,0.22491525783185465,0.012402875080610514,0.028797124919389294,-0.003058191866124862,4.642524721980685e-4,NA,NA
3,2,0.04,0,0,0,-0.17258530334868327,4.140585303348701,-0.2866180934104087,0.5552241540164344,0.031232783600157774,0.04956721639984195,-0.003834942939886541,0.0032531247580883564,NA,NA
3,3,0.06,0,0,0,0.5968327480085096,3.6591672519914704,-0.477484381189225,-0.21293986123504757,0.050310707071760746,0.06728929292823999,-0.0031139994431172713,0.0011746055037444181,NA,NA
3,4,0.08,0,0,0,-0.4055005061435639,4.357500506143561,-0.4698848519809009,0.8461272762232817,0.07586795572408009,0.09373204427592,-0.0024970930515003154,0.0021576991121319724,NA,NA
3,5,0.1,0,0,0,3.2890479733948577,6.65895202660519,-1.1258459725308765,0.23687627556114904,0.09542340056942175,0.10457659943057823,-0.0032435733487844566,0.0012556945609262264,NA,NA
4,1,0.02,0,0,0,-1.334017261679993,4.534017261680008,-0.6786087898110026,0.9826087898109658,0.014246365870644668,0.026553634129355307,-0.0020212165890919134,0.001487883255774475,NA,NA
4,2,0.04,0,0,0,-1.4528553411949847,2.2688553411949823,-1.1380496672551652,0.819504212709693,0.03442502065628533,0.04997497934371457,-0.00435231567186061,0.0015644368840026371,NA,NA
4,3,0.06,0,0,0,1.478472521428397,5.0415274785715685,-0.8563130603601923,-0.0314445153974105,0.06243777391356242,0.07396222608643771,-0.0034890031717274674,4.5870014144515684e-4,NA,NA
4,4,0.08,0,0,0,1.279957889641521,6.080042110358459,-0.49920167434936896,1.0499895531372367,0.07732511841582454,0.08947488158417485,-0.0018829664100741491,0.0032647845919148303,NA,NA
4,5,0.1,0,0,0,1.5179473408460769,5.366052659153858,-1.0659324638238732,0.4862961001874734,0.09445686836667344,0.10754313163332657,-0.0017867692145545494,-0.0013405035126976448,NA,NA
5,1,0.02,0,0,0,-2.5522950679644167,1.6122950679644172,-1.0561327041113184,0.3305569465355249,0.007339996842119199,0.02506000315788066,-0.0011652644883830394,0.005504658427791355,NA,NA
5,2,0.04,0,0,0,1.1977455480694008,6.326254451930594,-0.9236652852238709,0.6441501337086972,0.04666005026190018,0.051339949738099716,-0.0019081375696834658,0.0016414709030345474,NA,NA
5,3,0.06,0,0,0,-0.03971700665664768,3.0037170066566476,0.014008635623300125,0.5617489401342591,0.05230588120263825,0.06929411879736132,6.498923255906382e-4,0.0050228349471584215,NA,NA
5,4,0.08,0,0,0,1.3740084225292994,7.169991577470664,-1.427323238147058,0.7732626320864329,0.07178500283676287,0.09061499716323737,-0.0023369518252321923,0.003985436673741042,NA,NA
5,5,0.1,0,0,0,3.44051677728965,7.267483222710345,-0.5465138370262828,0.0929380794505015,0.09427109154357956,0.10692890845642032,3.879070520629868e-4,0.0035151232509904517,NA,NA
6,1,0.02,0,0,0,-1.4073958813133878,2.9633958813133843,-0.27444836072387313,1.0824483607238533,0.011921099333283227,0.03007890066671675,-3.571498557754266e-4,0.0041632104618514534,NA,NA
6,2,0.04,0,0,0,0.9072899788349367,5.064710021165032,-0.9378304817922725,0.27770926967104526,0.03582277251179405,0.055377227488205914,-4.72572598271331e-6,0.004562301483578262,NA,NA
6,3,0.06,0,0,0,-0.5424768274926701,5.378476827492657,-0.9963840320133581,1.2118991835284874,0.051426400500164005,0.06257359949983549,3.5554697308573806e-4,0.0039838469663300066,NA,NA
6,4,0.08,0,0,0,0.798947509439929,5.3130524905600485,-1.0692148230748526,0.08254815640817165,0.07530637681277245,0.09389362318722731,-0.0031525560214397,0.0019161923850979337,NA,NA
6,5,0.1,0,0,0,1.922701153533548,9.617298846466385,-1.9297280833386274,0.1951826287931584,0.10090421781332415,0.11229578218667569,-0.0029887312431298276,0.0011220645764833696,NA,NA
7,1,0.02,0,0,0,-0.002891435426219058,5.15489143542624,-0.30477780682260175,1.184777806822586,0.019874367933941824,0.02732563206605816,-0.00247699086292478,8.285060144556143e-4,NA,NA
7,2,0.04,0,0,0,-2.1979952853260682,0.609995285326068,0.056996258587882986,0.39367040807877374,0.02962720110214306,0.04717279889785708,-7.585927380094454e-4,0.004055562434997514,NA,NA
7,3,0.06,0,0,0,1.2137618510510597,5.946238148948871,-0.5493561403080881,0.49941674636868105,0.06026103425261756,0.07453896574738253,-0.001460566492641938,0.003569657401755718,NA,NA
7,4,0.08,0,0,0,1.8943461855417398,7.485653814458277,-0.5277020557127567,0.9153384193490879,0.07373688688991759,0.093863113110083,-0.003559907184434462,0.0026144526390002787,NA,NA
